iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
244,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
245,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
246,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
247,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
248,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
249,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
250,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
251,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
252,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
253,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
254,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
255,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
256,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
257,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
258,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
259,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
260,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
261,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
262,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
263,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
264,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
265,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
266,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
267,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
268,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
269,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
270,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
271,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
272,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
273,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
274,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
275,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
276,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
277,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
278,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
279,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
280,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
281,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
282,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
283,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
284,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
285,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
286,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
287,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
288,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
289,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
290,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
291,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
292,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
293,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
294,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
295,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
296,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
297,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
298,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
299,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
300,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
301,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
302,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
303,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
304,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
305,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
306,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
307,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
