iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
87,READ COMMITTED,8,8,0,1,entity_id=34000087 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=11 accepted=8
88,READ COMMITTED,8,8,0,1,entity_id=34000088 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
89,READ COMMITTED,8,8,0,1,entity_id=34000089 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=6 accepted=8
90,READ COMMITTED,8,8,0,1,entity_id=34000090 attribute='s4_slot' has 3 live rows; expected <= 1,fact=8 audit=8 accepted=8
91,READ COMMITTED,8,8,0,1,entity_id=34000091 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=6 accepted=8
92,READ COMMITTED,8,8,0,1,entity_id=34000092 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
93,READ COMMITTED,8,8,0,1,entity_id=34000093 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
94,READ COMMITTED,8,8,0,1,entity_id=34000094 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=8 accepted=8
95,READ COMMITTED,8,8,0,1,entity_id=34000095 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
96,READ COMMITTED,8,8,0,1,entity_id=34000096 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
97,READ COMMITTED,8,8,0,1,entity_id=34000097 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
98,READ COMMITTED,8,8,0,1,entity_id=34000098 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
99,READ COMMITTED,8,8,0,1,entity_id=34000099 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
100,READ COMMITTED,8,8,0,1,entity_id=34000100 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
101,READ COMMITTED,8,8,0,1,entity_id=34000101 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=3 accepted=8
102,READ COMMITTED,8,8,0,1,entity_id=34000102 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
103,READ COMMITTED,8,8,0,1,entity_id=34000103 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
104,READ COMMITTED,8,8,0,1,entity_id=34000104 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
105,READ COMMITTED,8,8,0,1,entity_id=34000105 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
106,READ COMMITTED,8,8,0,1,entity_id=34000106 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
107,READ COMMITTED,8,8,0,1,entity_id=34000107 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
108,READ COMMITTED,8,8,0,1,entity_id=34000108 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=3 accepted=8
109,READ COMMITTED,8,8,0,1,entity_id=34000109 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
110,READ COMMITTED,8,8,0,1,entity_id=34000110 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
111,READ COMMITTED,8,8,0,1,entity_id=34000111 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=5 accepted=8
112,READ COMMITTED,8,8,0,1,entity_id=34000112 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
113,READ COMMITTED,8,8,0,1,entity_id=34000113 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
114,READ COMMITTED,8,8,0,1,entity_id=34000114 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=6 accepted=8
115,READ COMMITTED,8,8,0,1,entity_id=34000115 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
116,READ COMMITTED,8,8,0,1,entity_id=34000116 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
117,READ COMMITTED,8,8,0,1,entity_id=34000117 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=6 accepted=8
118,READ COMMITTED,8,8,0,1,entity_id=34000118 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=10 accepted=8
119,READ COMMITTED,8,8,0,1,entity_id=34000119 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
120,READ COMMITTED,8,8,0,1,entity_id=34000120 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=7 accepted=8
121,READ COMMITTED,8,8,0,1,entity_id=34000121 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=7 accepted=8
122,READ COMMITTED,8,8,0,1,entity_id=34000122 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
123,READ COMMITTED,8,8,0,1,entity_id=34000123 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
124,READ COMMITTED,8,8,0,1,entity_id=34000124 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
125,READ COMMITTED,8,8,0,1,entity_id=34000125 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=3 accepted=8
126,READ COMMITTED,8,8,0,1,entity_id=34000126 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
127,READ COMMITTED,8,8,0,1,entity_id=34000127 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
128,READ COMMITTED,8,8,0,1,entity_id=34000128 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
129,READ COMMITTED,8,8,0,1,entity_id=34000129 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
130,READ COMMITTED,8,8,0,1,entity_id=34000130 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
131,READ COMMITTED,8,8,0,1,entity_id=34000131 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=5 accepted=8
132,READ COMMITTED,8,8,0,1,entity_id=34000132 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
133,READ COMMITTED,8,8,0,1,entity_id=34000133 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
134,READ COMMITTED,8,8,0,1,entity_id=34000134 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
135,READ COMMITTED,8,8,0,1,entity_id=34000135 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=3 accepted=8
136,READ COMMITTED,8,8,0,1,entity_id=34000136 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
137,READ COMMITTED,8,8,0,1,entity_id=34000137 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
138,READ COMMITTED,8,8,0,1,entity_id=34000138 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
139,READ COMMITTED,8,8,0,1,entity_id=34000139 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
140,READ COMMITTED,8,8,0,1,entity_id=34000140 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
141,READ COMMITTED,8,8,0,1,entity_id=34000141 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
142,READ COMMITTED,8,8,0,1,entity_id=34000142 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=2 accepted=8
143,READ COMMITTED,8,8,0,1,entity_id=34000143 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
144,READ COMMITTED,8,8,0,1,entity_id=34000144 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
145,READ COMMITTED,8,8,0,1,entity_id=34000145 attribute='s4_slot' has 3 live rows; expected <= 1,fact=8 audit=10 accepted=8
146,READ COMMITTED,8,8,0,1,entity_id=34000146 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
147,READ COMMITTED,8,8,0,1,entity_id=34000147 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
148,READ COMMITTED,8,8,0,1,entity_id=34000148 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
149,READ COMMITTED,8,8,0,1,entity_id=34000149 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
150,READ COMMITTED,8,8,0,1,entity_id=34000150 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=3 accepted=8
151,READ COMMITTED,8,8,0,1,entity_id=34000151 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
152,READ COMMITTED,8,8,0,1,entity_id=34000152 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
153,READ COMMITTED,8,8,0,1,entity_id=34000153 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
154,READ COMMITTED,8,8,0,1,entity_id=34000154 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
155,READ COMMITTED,8,8,0,1,entity_id=34000155 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
156,READ COMMITTED,8,8,0,1,entity_id=34000156 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=3 accepted=8
157,READ COMMITTED,8,8,0,1,entity_id=34000157 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=4 accepted=8
158,READ COMMITTED,8,8,0,1,entity_id=34000158 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
159,READ COMMITTED,8,8,0,1,entity_id=34000159 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
160,READ COMMITTED,8,8,0,1,entity_id=34000160 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
161,READ COMMITTED,8,8,0,1,entity_id=34000161 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
162,READ COMMITTED,8,8,0,1,entity_id=34000162 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
163,READ COMMITTED,8,8,0,1,entity_id=34000163 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
164,READ COMMITTED,8,8,0,1,entity_id=34000164 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
165,READ COMMITTED,8,8,0,1,entity_id=34000165 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=3 accepted=8
166,READ COMMITTED,8,8,0,1,entity_id=34000166 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
167,READ COMMITTED,8,8,0,1,entity_id=34000167 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
168,READ COMMITTED,8,8,0,1,entity_id=34000168 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=2 accepted=8
169,READ COMMITTED,8,8,0,1,entity_id=34000169 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
170,READ COMMITTED,8,8,0,1,entity_id=34000170 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
171,READ COMMITTED,8,8,0,1,entity_id=34000171 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=8 accepted=8
172,READ COMMITTED,8,8,0,1,entity_id=34000172 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
173,READ COMMITTED,8,8,0,1,entity_id=34000173 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
174,READ COMMITTED,8,8,0,1,entity_id=34000174 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=11 accepted=8
175,READ COMMITTED,8,8,0,1,entity_id=34000175 attribute='s4_slot' has 3 live rows; expected <= 1,fact=8 audit=10 accepted=8
176,READ COMMITTED,8,8,0,1,entity_id=34000176 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
177,READ COMMITTED,8,8,0,1,entity_id=34000177 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
178,READ COMMITTED,8,8,0,1,entity_id=34000178 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=12 accepted=8
179,READ COMMITTED,8,8,0,1,entity_id=34000179 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
180,READ COMMITTED,8,8,0,1,entity_id=34000180 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
181,READ COMMITTED,8,8,0,1,entity_id=34000181 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
182,READ COMMITTED,8,8,0,1,entity_id=34000182 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=3 accepted=8
183,READ COMMITTED,8,8,0,1,entity_id=34000183 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=7 accepted=8
184,READ COMMITTED,8,8,0,1,entity_id=34000184 attribute='s4_slot' has 3 live rows; expected <= 1,fact=8 audit=11 accepted=8
185,READ COMMITTED,8,8,0,1,entity_id=34000185 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
